상호,주소,별점,메뉴
송화산시도삭면 2호점,서울 광진구 아차산로30길 33 1층,4.2,"철판소고기(20,000원), 수주어팬(22,000원), 수주육팬(15,000원), 어향육슬덮밥(7,000원), 가지덮밥(7,000원)"
하이디라오코리아 건대점,서울 광진구 능동로 110 스타시티 영존 A동 1층,4.3,"우삼겹(150g)(14,900원), 양갈비살(200g)(16,900원), 돈삼겹살(150g)(13,900원), 새우완자(100g)(10,900원)"
송화양꼬치,서울 광진구 동일로18길 70 1층,4.2,"오리지널 양꼬치 (10꼬치)(18,000원), 송화양꼬치(16,000원), 청경채표고버섯(13,000원), 토마토계란볶음(10,000원), 새우살청경채(15,000원)"
뽕사부,서울 광진구 아차산로 205,3.6,"짬뽕+탕수육 (미니)(25,000원), 크림짬뽕+군만두 (4개)+음료1캔(21,500원), 짜장(9,500원), 볶음밥(11,000원), 짬뽕(12,500원), 소고기짬뽕밥(13,000원), 탕수육(미니)+짜장+짬뽕(34,000원), 짬짜면+탕수육(미니)(25,500원), 짬뽕밥+탕수육 (미니)(25,500원), 즉석짜장(11,500원), 매운짬뽕(13,000원), 탕수육(18,000원), 탕수육(미니)+짜장+짜장(31,000원), 처음처럼(4,000원), 참이슬 후레쉬(4,000원), 진로이즈백(4,000원), 청하(5,000원), 새로(4,000원), 별빛청하(5,000원), 일품진로(25,000원), 카스(5,000원), 테라(5,000원), 칭따오(6,000원), 연태고량주 (중)(15,000원), 공부가주 (중)(15,000원), 설원 (대)(20,000원), 이과두주(5,000원), 연태고량주 (대)(30,000원), 공부가주 (대)(30,000원), 연태고량주 (소)(8,000원)"
매화반점 본점,서울 광진구 동일로18길 105,3.1,"꿔바로우(16,000원), 크림새우(18,000원), 레몬새우(18,000원), 유림기(18,000원), 경장육슬(16,000원), 매화양꼬치(16,000원), 양갈비(25,000원), 가지튀김(14,000원), 레본새우(18,000원), 온면(9,000원), 꽃빵(9,000원), 계란볶음밥(7,000원), 해물간장볶음밥(9,000원), 새우볶음밥(8,000원), 냉면(9,000원), 황금꽃빵(10,000원), 매화수제물만두(9,000원), 마라탕(24,000원), 삼전짬뽕탕(17,000원), 사천마라돼지고기(17,000원), 볶음면(13,000원), 해물누룽지탕(19,000원)"
훈춘양꼬치,서울 광진구 아차산로34길 38,4.6,"온면(7,000원), 계란볶음밥(7,000원), 냉면(8,000원), 가지볶음(7,000원), 야채마라탕(9,000원), 새우살볶음밥(7,000원), 양고기야채마라탕(13,000원), 새우살군만두(13,000원), 양탕(10,000원), 고급양갈비(300g)(35,000원), 송아지갈비살 꼬치(10p)(22,000원), 양꼬치 꼬치(10p)(16,000원), 오돌뼈 꼬치(10p)(14,000원), 양갈비살 꼬치(10p)(22,000원), 풍류가지(17,000원), 지삼선(17,000원), 꿔바로우(소)(13,000원), 향라대하(18,000원), 향라오징어(18,000원), 깐풍기(18,000원), 향라닭날개(18,000원), 유린기(18,000원), 깐쇼새우(18,000원), 쯔란양고기(20,000원), 크림새우(18,000원), 고기가지튀김(17,000원), 어향가지(17,000원), 마라룽샤(45,000원), 해물누룽지(18,000원), 마라샹궈(25,000원)"
매운향솥,서울 광진구 동일로18길 61 1층,4.0,"마라탕 (100g)(3,000원), 마라샹궈 (100g)(3,000원), 꿔바로우(11,000원), 크림새우(11,000원)"
시옌 건대점,서울 광진구 능동로 137-8,4.0,"고추간자장(9,900원), 유니자장면(7,700원), 해물짬뽕(9,900원), 차돌박이짬뽕(9,900원), 고기볶음밥（건국대 인기메뉴）(8,800원), 삼선간자장(8,800원), 삼선자장면(8,800원), 차돌짬뽕밥(11,000원), 탕수육 Small(18,700원), 탕수육 Small(18,700원), 사천탕수육 Small(19,800원), 고추쟁반자장 2人分（분）(19,800원), 비프챠우면（광동식 볶음면）(12,100원), 해물우동(11,000원), 해물울면(11,000원), 기스면(8,800원), 시옌면（매콤한소스＋국물없는 면）(11,000원), XO볶음밥（xo소스로 맛을낸 볶음밥）(11,000원), 물만두 12ea(6,600원), 삼선볶음밥(9,900원), 해물짬뽕밥(11,000원), 잡탕해물밥(14,300원), 유산슬밥(12,100원), 시옌밥（매콤한소스로 맛을낸 시옌특밥）(12,100원), 잡채밥(9,900원), 고추잡채밥(11,000원), 마파두부밥(9,900원), 가지덮밥（대만 가정식덮밥&매장 인기메뉴）(12,100원), 물만두 12ea(6,600원), 군만두 8ea(8,800원)"
메이탄,서울 광진구 광나루로 590 아산빌딩 1층,4.2,"해물짬뽕(10,000원), 탕수육(24,000원), XO볶음밥(12,000원), 런치(사랑)(30,000원), 런치(성공)(35,000원), 디너(一)(45,000원), 새우볶음밥(11,000원), 메이탄짜장(8,000원), 해물볶음짜장(10,000원), 해물우동(11,000원), 해물울면(11,000원), 차돌짬뽕(13,000원), 알짬뽕(13,000원), 팔진탕면(18,000원), 건강식마늘볶음밥(10,000원), 해물짬뽕밥(10,000원), 해물잡채밥(13,000원), 고추잡채밥(16,000원), 해물매생이누룽지탕(18,000원), 유산슬밥(16,000원)"
중경식객,서울 광진구 동일로20길 109,3.5,"미니꿔바로우(10,000원), 크림새우(13,000원), 어향육슬(12,000원), 지삼선(13,000원), 고기가지튀김(13,000원)"
